 0 -> 2 , weight = 5
 0 -> 8 , weight = 7
 1 -> 5 , weight = 7
 2 -> 4 , weight = 3
 2 -> 8 , weight = 9
 2 -> 9 , weight = 7
 4 -> 7 , weight = 1
 5 -> 11 , weight = 5
 5 -> 14 , weight = 9
 6 -> 8 , weight = 5
 6 -> 10 , weight = 9
 6 -> 13 , weight = 10
 7 -> 3 , weight = 5
 7 -> 11 , weight = 7
 7 -> 12 , weight = 4
 7 -> 14 , weight = 3
 8 -> 5 , weight = 3
 8 -> 11 , weight = 8
 8 -> 14 , weight = 9
 9 -> 12 , weight = 6
 10 -> 11 , weight = 2
 10 -> 15 , weight = 4
 10 -> 17 , weight = 10
 10 -> 23 , weight = 8
 11 -> 17 , weight = 10
 11 -> 19 , weight = 7
 11 -> 22 , weight = 7
 12 -> 15 , weight = 9
 12 -> 17 , weight = 7
 12 -> 19 , weight = 4
 12 -> 21 , weight = 9
 13 -> 16 , weight = 8
 13 -> 18 , weight = 4
 13 -> 22 , weight = 4
 13 -> 23 , weight = 4
 15 -> 24 , weight = 4
 16 -> 22 , weight = 2
 16 -> 24 , weight = 5
 17 -> 20 , weight = 1
 18 -> 20 , weight = 5
 18 -> 23 , weight = 4
 20 -> 21 , weight = 1
 21 -> 25 , weight = 8
 22 -> 19 , weight = 4
 23 -> 24 , weight = 8
 23 -> 25 , weight = 5
 24 -> 26 , weight = 7
 24 -> 29 , weight = 5
 24 -> 34 , weight = 5
 25 -> 30 , weight = 10
 25 -> 33 , weight = 3
