 1 -> 3 , weight = 3
 1 -> 4 , weight = 3
 1 -> 5 , weight = 6
 2 -> 5 , weight = 3
 3 -> 7 , weight = 3
 4 -> 6 , weight = 4
 4 -> 8 , weight = 3
 5 -> 10 , weight = 7
 6 -> 9 , weight = 1
 6 -> 13 , weight = 5
 6 -> 16 , weight = 4
 6 -> 17 , weight = 4
 7 -> 16 , weight = 4
 7 -> 17 , weight = 6
 7 -> 18 , weight = 3
 8 -> 12 , weight = 7
 8 -> 15 , weight = 3
 8 -> 18 , weight = 10
 10 -> 11 , weight = 4
 10 -> 14 , weight = 4
 10 -> 17 , weight = 3
 10 -> 18 , weight = 6
 11 -> 19 , weight = 3
 11 -> 21 , weight = 5
 11 -> 22 , weight = 7
 12 -> 19 , weight = 2
 14 -> 20 , weight = 9
 14 -> 22 , weight = 9
 15 -> 11 , weight = 4
 15 -> 17 , weight = 4
 15 -> 20 , weight = 3
 15 -> 21 , weight = 8
 16 -> 24 , weight = 5
 17 -> 18 , weight = 1
 18 -> 23 , weight = 7
 18 -> 24 , weight = 4
 19 -> 18 , weight = 1
 19 -> 24 , weight = 4
 20 -> 21 , weight = 1
 20 -> 28 , weight = 8
 21 -> 24 , weight = 2
 21 -> 27 , weight = 10
 22 -> 25 , weight = 7
 22 -> 26 , weight = 3
 22 -> 28 , weight = 7
 23 -> 25 , weight = 3
 23 -> 26 , weight = 4
 23 -> 27 , weight = 10
 24 -> 26 , weight = 10
 24 -> 27 , weight = 9
 24 -> 28 , weight = 6
 26 -> 27 , weight = 4
 28 -> 25 , weight = 4
