 0 -> 4 , weight = 5
 0 -> 5 , weight = 8
 1 -> 3 , weight = 6
 3 -> 6 , weight = 9
 4 -> 9 , weight = 6
 5 -> 6 , weight = 5
 5 -> 8 , weight = 3
 5 -> 9 , weight = 10
 6 -> 10 , weight = 3
 6 -> 12 , weight = 10
 6 -> 13 , weight = 6
 6 -> 14 , weight = 7
 6 -> 16 , weight = 3
 7 -> 11 , weight = 9
 7 -> 14 , weight = 5
 7 -> 16 , weight = 8
 8 -> 7 , weight = 3
 8 -> 10 , weight = 8
 9 -> 8 , weight = 4
 10 -> 13 , weight = 5
 10 -> 17 , weight = 4
 11 -> 15 , weight = 1
 11 -> 19 , weight = 5
 11 -> 21 , weight = 10
 11 -> 22 , weight = 5
 12 -> 18 , weight = 9
 12 -> 21 , weight = 4
 13 -> 14 , weight = 1
 13 -> 17 , weight = 5
 13 -> 18 , weight = 4
 13 -> 22 , weight = 10
 14 -> 12 , weight = 4
 14 -> 18 , weight = 3
 15 -> 17 , weight = 7
 15 -> 22 , weight = 7
 16 -> 17 , weight = 3
 17 -> 26 , weight = 6
 17 -> 27 , weight = 10
 18 -> 17 , weight = 5
 18 -> 23 , weight = 6
 19 -> 21 , weight = 4
 19 -> 23 , weight = 8
 19 -> 25 , weight = 9
 20 -> 18 , weight = 2
 20 -> 24 , weight = 6
 20 -> 25 , weight = 4
 20 -> 26 , weight = 3
 21 -> 17 , weight = 2
 21 -> 18 , weight = 3
 22 -> 20 , weight = 3
 22 -> 23 , weight = 6
 22 -> 24 , weight = 3
 22 -> 26 , weight = 5
 22 -> 27 , weight = 9
